,pca,norm,w2d,kld,condition
0,0.03436496774867187,0.3140782304552529,0.13620465213552535,7.338935235092531,0
1,0.03571213506445204,0.1880037912895451,0.04767963143540261,,0
2,0.023620916284841934,0.18485570800351842,0.043089488278998146,9.38731718477223,0
3,0.015134903984320837,0.22199667019909286,0.09552142235563478,,0
4,0.035789273968716694,0.2109464358296531,0.06020112278877716,-10.727041440854457,0
5,0.04562427092586002,0.1632443983582135,0.03998325378415879,,0
6,0.08359524792998264,0.2913832024274888,0.13229526132132657,,1
7,0.05135949520802309,0.30335023419029683,0.14044112891491317,,1
8,0.151439550643163,0.570738017557796,0.36933791156125706,10.129865440535829,1
9,0.03444583530833813,0.21141528623482103,0.08533877241396323,-4.542152993348781,1
10,0.07886979234677274,0.46491513144911073,0.27464700707502077,,1
11,0.10124479361905236,0.39138431453153927,0.17311221445526662,,1
12,0.09834992717816989,0.4866960516125581,0.47893316249838713,inf,2
13,0.009139724024945088,0.1759827035714644,0.042280667665600714,,2
14,0.0476602789224245,0.24798068273495313,0.09233014859067323,16.379683953233716,2
15,0.0933052334625358,0.5030712825899278,0.47466321791293764,,2
16,0.06748202011552458,0.4572125898459172,0.48887864256497426,inf,2
17,0.038971266618321405,0.28129287423483385,0.109682415684731,,2
18,0.13394217140986237,0.40675400688751884,0.2507853731373779,,3
19,0.09324070732334633,0.47130260718160394,0.2845467175555724,,3
20,0.06889657110231845,0.2614992076320243,0.10046388342607042,-25.115486214146493,3
21,0.045778087381474084,0.3825724426878663,0.19672873841677221,-5.062464080731957,3
22,0.06626651449342609,0.3148987369387187,0.1550809312679975,,3
23,0.02475238555404323,0.48399503172952524,0.29586221095177617,,3
